epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6191361546516418,0.6611447334289551,0.0010000000474974513,0.6677641272544861,0.6313427090644836,0.5883729457855225,0.5116186141967773,0.6374906301498413,0.708002507686615,0.5060571432113647,0.9788703918457031
1,0.7011227011680603,0.7698804140090942,0.0010000000474974513,0.5720715522766113,0.7146435976028442,0.6717568039894104,0.5470753312110901,0.7569887638092041,0.682913064956665,0.5251682996749878,0.984177827835083
2,0.7353761196136475,0.8144559860229492,0.0010000000474974513,0.5234049558639526,0.7516798973083496,0.7077054381370544,0.5216346383094788,0.8134122490882874,0.8162404894828796,0.5111522078514099,0.9959943890571594
3,0.7510726451873779,0.8292197585105896,0.0010000000474974513,0.5060743689537048,0.7669850587844849,0.716640293598175,0.6430789232254028,0.812515914440155,0.5938150882720947,0.5896744132041931,0.9413178563117981
4,0.752431333065033,0.8358360528945923,0.0010000000474974513,0.49788856506347656,0.7645917534828186,0.730983316898346,0.5666065812110901,0.842065691947937,0.6394621133804321,0.5360584855079651,0.9914880990982056
5,0.7646953463554382,0.8491240739822388,0.0010000000474974513,0.4782255291938782,0.7827188968658447,0.7309044003486633,0.5525340437889099,0.8373405337333679,0.7435593605041504,0.5279654860496521,0.9934908747673035
6,0.7705234289169312,0.8513925075531006,0.0010000000474974513,0.47530776262283325,0.7873706221580505,0.7431382536888123,0.7522035241127014,0.849312424659729,0.5203805565834045,0.7189673185348511,0.8282595872879028
7,0.7716675996780396,0.8556450009346008,0.0010000000474974513,0.46921423077583313,0.787966251373291,0.742607593536377,0.5600961446762085,0.8371887803077698,0.6988138556480408,0.5323014259338379,0.9917885065078735
8,0.7802131175994873,0.8625525832176208,0.0010000000474974513,0.4583451747894287,0.8015915751457214,0.7466856837272644,0.7017227411270142,0.8637524843215942,0.5418916940689087,0.6382598876953125,0.9315041303634644
9,0.7831092476844788,0.8644940853118896,0.0010000000474974513,0.4555005431175232,0.8000620603561401,0.7473196387290955,0.5777744650840759,0.8428643345832825,0.6250700950622559,0.5426003932952881,0.9916883707046509
10,0.784110426902771,0.8675344586372375,0.0010000000474974513,0.45020946860313416,0.8041666746139526,0.7545493245124817,0.7365284562110901,0.8447195291519165,0.5406487584114075,0.6767676472663879,0.905768096446991
